Name,Developer,Producer,Genre,Operating System,Date Released
The Sims: House Party,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",2-Apr-01
The Sims: Livin' Large,Maxis,"Electronic Arts, Aspyr",Life simulation,"Microsoft Windows, macOS",27-Aug-00
The Sims: Makin' Magic,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",29-Oct-03
The Sims: Superstar,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",13-May-03
The Sims: Unleashed,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",7-Jan-02
The Sims: Vacation,Maxis,Electronic Arts,Life simulation,"Microsoft Windows, macOS",28-Mar-02
Sins of a Solar Empire,Ironclad Games,Stardock,RTS,Microsoft Windows,2008
Sleeping Dogs,United Front Games,Square Enix,Action-adventure,Microsoft Windows,14-Sep-12
Smite,Hi-Rez Studios,Hi-Rez Studios,MOBA,Microsoft Windows,25-Mar-14
Sonic Heroes,Sonic Team USA,Sega,platform,Microsoft Windows,5-Dec-03
Sonic & Knuckles Collection,Sega PC,Sega,"platform, compilation",Microsoft Windows,1997
Space Engineers,Keen Software House,Keen Software House,"Sandbox, simulation",Microsoft Windows,23-Oct-13
Space Station 13,SS13 Development Team,SS13 Development Team,MMORPG,Microsoft Windows,16-Feb-03
SpaceChem,Zachtronics Industries,Zachtronics Industries,Puzzle,"Microsoft Windows, Linux, macOS",1-Jan-11
Spore,Maxis,Electronic Arts,Life simulation,Microsoft Windows,7-Sep-08
Spore Galactic Adventures,Maxis,Electronic Arts,Life simulation,Microsoft Windows,23-Jun-09
S.T.A.L.K.E.R.: Call of Pripyat,GSC Game World,Viva Media,First-person shooter,Microsoft Windows,2-Feb-10
S.T.A.L.K.E.R.: Clear Sky,GSC Game World,Deep Silver,First-person shooter,Microsoft Windows,15-Sep-08
S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,THQ,First-person shooter,Microsoft Windows,20-Mar-07
The Stanley Parable,Galactic Cafe,Galactic Cafe,Interactive fiction,"Microsoft Windows, Linux, macOS",17-Oct-13
The Sting!,Neo Software,JoWooD Entertainment,"Strategy, adventure",Microsoft Windows,1-Jul-01
Starbound,Chucklefish,Chucklefish,"Action-adventure, first-person shooter","Microsoft Windows, OS X, Linux",22-Jul-16
Star Citizen,Cloud Imperium Games Corporation,Cloud Imperium Games Corporation,"Space trading and combat simulator, first-person shooter","Microsoft Windows, Linux",TBA
Star Trek Online,Cryptic Studios,Perfect World Entertainment,MMORPG,"Microsoft Windows, macOS",2-Feb-10
Star Wars: Empire At War,Petroglyph Games,LucasArts,Real-time strategy,"Microsoft Windows, macOS",16-Feb-06
Star Wars Galaxies,Sony Online Entertainment,"Electronic Arts, LucasArts",MMORPG,Microsoft Windows,17-Feb-06
Star Wars: Knights of the Old Republic,BioWare,LucasArts,RPG,"Microsoft Windows, macOS",19-Nov-03
