Name,Developer,Producer,Genre,Operating System,Date Released
Civilization III,"Firaxis Games, Westlake Interactive, Aspyr","Atari, Aspyr",Turn-based strategy,"Microsoft Windows, macOS",30-Oct-01
Civilization III: Conquests,"Firaxis Games, BreakAway Games",Atari,Turn-based strategy,Microsoft Windows,4-Nov-03
Civilization IV,Firaxis Games,"2K Games, Aspyr",Turn-based strategy,"Microsoft Windows, macOS",25-Oct-05
Civilization V,Firaxis Games,"2K Games, Aspyr",Turn-based strategy,"Microsoft Windows, Linux, macOS",21-Sep-10
Civilization V: Brave New World,Firaxis Games,"2K Games, Aspyr",Turn-based strategy,"Microsoft Windows, Linux, macOS",15-Mar-13
Civilization V: Gods & Kings,Firaxis Games,"2K Games, Aspyr",Turn-based strategy,"Microsoft Windows, Linux, macOS",16-Feb-12
Civilization VI,Firaxis Games,2K Games,Turn-based strategy,"Microsoft Windows, macOS",21-Oct-16
Clans to Kingdoms,Clans to Kingdoms,Clans to Kingdoms,"4X, Turn-based strategy, City-building",Microsoft Windows,15-Apr-19
Classic British Motor Racing,Data Design Interactive,Bold Games,Racing,Microsoft Windows,2-Jan-08
The Club,Bizarre Creations,Sega,Third-person shooter,Microsoft Windows,7-Feb-08
Cobalt,Oxeye Game Studio,Mojang,"Action, sidescroller","Microsoft Windows, Linux, macOS",2-Feb-16
Colin McRae Rally,Codemasters,Codemasters,Racing game,Microsoft Windows,28-Sep-98
Colin McRae Rally 2.0,Codemasters,Codemasters,Racing game,Microsoft Windows,8-Dec-00
Colin McRae Rally 3,Codemasters,Codemasters,Racing game,Microsoft Windows,25-Aug-02
Colin McRae Rally 04,Codemasters,Codemasters,Racing game,Microsoft Windows,2-Apr-04
Colin McRae Rally 2005,Codemasters,"Codemasters (Win), Feral Interactive (OSX)",Racing game,"Microsoft Windows, macOS",24-Sep-04
Colin McRae: Dirt,Codemasters,Codemasters,Racing game,Microsoft Windows,15-Jun-07
Colin McRae: Dirt 2,Codemasters,"Codemasters (Win), Feral Interactive (OSX)",Racing game,"Microsoft Windows, macOS",8-Sep-09
Microsoft Combat Flight Simulator,Microsoft[circular reference],Microsoft,"CFS, Flight Simulation",Microsoft Windows,28-Oct-98
Command & Conquer,Westwood Studios,Virgin Interactive,RTS,"MS-DOS, Microsoft Windows",31-Aug-95
Command & Conquer: Red Alert,Westwood Studios,Virgin Interactive,RTS,"MS-DOS, Microsoft Windows",22-Nov-96
Command & Conquer: Generals,EA Pacific,EA Games,RTS,"Microsoft Windows, Mac OS X",10-Feb-03
Command & Conquer: Red Alert 2,Westwood Pacific,EA Games,RTS,Microsoft Windows,26-Oct-00
Command & Conquer: Red Alert 3,EA Los Angeles,Electronic Arts,RTS,Microsoft Windows Mac OS X,28-Oct-08
Command & Conquer: Renegade,Westwood Studios,EA Games,Tactical shooter,Microsoft Windows,26-Feb-02
Command & Conquer: Tiberian Sun,Westwood Studios,Electronic Arts,RTS,Microsoft Windows,27-Aug-99
Command & Conquer 3: Tiberium Wars,EA Los Angeles,Electronic Arts,RTS,"Microsoft Windows, Mac OS X",26-Mar-07
Command & Conquer 4: Tiberian Twilight,EA Los Angeles,Electronic Arts,RTS,Microsoft Windows,16-Mar-10
Commandos: Behind Enemy Lines,Pyro Studios,Eidos Interactive,RTS,Microsoft Windows,31-Jul-98
Commandos: Beyond the Call of Duty,Pyro Studios,Eidos Interactive,RTS,Microsoft Windows,31-Mar-99
Commandos: Strike Force,Pyro Studios,Eidos Interactive,RTS,Microsoft Windows,17-Mar-06
Commandos 2: Men of Courage,Pyro Studios,Eidos Interactive,RTS,Microsoft Windows,21-Sep-01
Commandos 3: Destination Berlin,Pyro Studios,Eidos Interactive,RTS,Microsoft Windows,23-Oct-03
Company of Heroes,Relic Entertainment,THQ,RTS,"Microsoft Windows, macOS",12-Sep-06
Company of Heroes 2,Relic Entertainment,Sega,RTS,Microsoft Windows,25-Jun-13
Constantine,Bits Studios,SCi Games,"Action-adventure, third-person shooter",Microsoft Windows,14-Feb-05
Contagion,Monochrome LLC,Monochrome LLC,First-person shooter,Microsoft Windows,14-Apr-14
Cossacks II: Battle for Europe,GSC Game World,GSC World Publishing,RTS,Microsoft Windows,19-Jun-06
Counter-Strike,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS",19-Jun-99
Counter-Strike: Condition Zero,"Valve, Gearbox Software, Ritual Entertainment, Turtle Rock Studios",Valve,First-person shooter,"Microsoft Windows, Linux, macOS",23-Mar-04
Counter-Strike: Global Offensive,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS",12-Aug-12
Counter-Strike Online,"Valve, Nexon Corporation","Valve, Nexon Corporation, Gamania",First-person shooter,Microsoft Windows,24-Jun-08
Counter-Strike: Source,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS",1-Sep-04
Crusader Kings,Paradox Development Studios,Paradox Interactive,Grand strategy,"Microsoft Windows, macOS",27-Aug-04
Crusader Kings II,Paradox Development Studios,Paradox Interactive,Grand strategy,"Microsoft Windows, Linux, macOS",14-Feb-12
Cryostasis: Sleep of Reason,Action Forms,"1C, Aspyr, 505 Games",Survival horror,Microsoft Windows,27-Feb-09
Crysis,Crytek,Electronic Arts,First-person shooter,Microsoft Windows,13-Nov-07
Crysis Warhead,Crytek Budapest,Electronic Arts,First-person shooter,Microsoft Windows,16-Sep-08
Crysis 2,"Crytek, Crytek UK",Electronic Arts,First-person shooter,Microsoft Windows,22-Mar-11
Crysis 3,"Crytek, Crytek UK",Electronic Arts,First-person shooter,Microsoft Windows,19-Feb-13
Cuphead,StudioMDHR,StudioMDHR,"Action, run and gun",Microsoft Windows,29-Sep-17
Curse of the Azure Bonds,"Strategic Simulations, Inc.","Strategic Simulations, Inc., U.S. Gold, Pony Canyon, Inc.","Fantasy, RPG","MS-DOS, Apple II, macOS, Commodore 64, Amiga, Atari ST, NEC PC-9801",1-Sep-89
The Cursed Crusade,Kylotonn,Atlus,Action-adventure,Microsoft Windows,25-Oct-11
Damnation,Blue Omega Entertainment,Codemasters,Third-person shooter,Microsoft Windows,25-May-09
Dark Souls,FromSoftware,Namco Bandai Games,Action role-playing,Microsoft Windows,23-Aug-12
Dark Souls II,FromSoftware,Bandai Namco Games,Action role-playing,Microsoft Windows,24-Apr-14
Dark Souls III,FromSoftware,Bandai Namco Entertainment,Action role-playing,Microsoft Windows,12-Apr-16
Dark Sun Online: Crimson Sands,"Strategic Simulations, Inc.",Total Entertainment Network,"RPG, fantasy",MS-DOS,1-Feb-96
Dark Sun: Shattered Lands,"Strategic Simulations, Inc.",Softgold Computerspiele GmbH,"RPG, fantasy",MS-DOS,1-Sep-93
Dark Sun: Wake of the Ravager,"Strategic Simulations, Inc.","Strategic Simulations, Inc.","RPG, fantasy",MS-DOS,1995
Darksiders 2,Vigil Games,THQ,"Hack and slash, platformer",Microsoft Windows,14-Aug-12
Darkstone: Evil Reigns,Delphine Software International,"Electronic Arts EU, Gathering of Developers NA",Action RPG,Microsoft Windows,31-Jul-99
Daryl F. Gates' Police Quest: SWAT,Sierra Entertainment,Sierra Entertainment,"Interactive movie, simulation, action-adventure","Microsoft Windows, macOS",30-Sep-95
Day of Defeat,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS",4-Aug-00
Day of Defeat: Source,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS",26-Sep-05
DayZ,Bohemia Interactive,Bohemia Interactive,"Open-world, first-person shooter, RPG",Microsoft Windows,16-Dec-13
Dead Island,Techland,Deep Silver,"Zombies, survival","Microsoft Windows, Linux, macOS",20-Oct-11
Dead Space,EA Redwood Shores,Electronic Arts,"Survival horror, third-person shooter",Microsoft Windows,20-Aug-08
Dead Space 2,Visceral Games,Electronic Arts,"Survival horror, third-person shooter",Microsoft Windows,25-Jan-11
Dead Space 3,Visceral Games,Electronic Arts,"Action-adventure, survival horror, third-person shooter",Microsoft Windows,5-Feb-13
Deadlight,Tequila Works,Microsoft Studios,"Cinematic platformer, survival horror, sidescroller",Microsoft Windows,1-Aug-12
Dear Esther,The Chinese Room,The Chinese Room,Art,"Microsoft Windows, Linux, macOS",14-Feb-12
Death Knights of Krynn,"Strategic Simulations, Inc.","Strategic Simulations, Inc.","Fantasy, RPG","MS-DOS, Commodore 64, Amiga",15-Jan-91
Deathmatch Classic,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS",1-Jun-01
Defcon,Introversion Software,Introversion Software,RTS,"Microsoft Windows, Linux, macOS",29-Sep-06
Delta Force,NovaLogic,Electronic Arts,"Tactical shooter, first-person shooter",Microsoft Windows,1-Nov-98
Delta Force 2,NovaLogic,NovaLogic,"Tactical shooter, first-person shooter",Microsoft Windows,3-Nov-99
Delta Force: Black Hawk Down,NovaLogic,NovaLogic,First-person shooter,"Microsoft Windows, macOS",24-Mar-03
Delta Force: Black Hawk Down: Team Sabre,NovaLogic,NovaLogic,First-person shooter,Microsoft Windows,20-Jan-04
Delta Force: Land Warrior,NovaLogic,NovaLogic,"Tactical shooter, first-person shooter",Microsoft Windows,7-Nov-00
Delta Force: Task Force Dagger,Zombie Studios,NovaLogic,First-person shooter,Microsoft Windows,27-Jun-02
Delta Force: Xtreme,NovaLogic,NovaLogic,First-person shooter,Microsoft Windows,22-Apr-05
Delta Force: Xtreme 2,NovaLogic,NovaLogic,First-person shooter,Microsoft Windows,2-Jun-09
Democracy 3,Positech Games,Positech Games,Government simulation,"Microsoft Windows, Linux, macOS",14-Oct-13
Desperados: Wanted Dead or Alive,Spellbound Entertainment,Atari,Real-time tactics,Microsoft Windows,20-Apr-01
Desperados 2: Cooper's Revenge,Spellbound Entertainment,Atari,Real-time tactics,Microsoft Windows,28-Apr-06
Desperados III,Mimimi Games,THQ Nordic,Real-time tactics,Microsoft Windows,16-Jun-20
Deus Ex,Ion Storm,Eidos Interactive,Action role-playing,"Microsoft Windows, macOS",26-Jun-00
Deus Ex: Human Revolution,Eidos MontrÃ©al,Square Enix,Action role-playing,Microsoft Windows,23-Aug-11
Deus Ex: Invisible War,Ion Storm,Eidos Interactive,Action role-playing,Microsoft Windows,3-Dec-03
Deus Ex: Mankind Divided,Eidos MontrÃ©al,Square Enix,Action role-playing,Microsoft Windows,23-Aug-16
Diablo,Blizzard North,"Blizzard Entertainment, Ubisoft","Action role-playing, hack and slash","Microsoft Windows, macOS",31-Dec-96
Diablo II,Blizzard North,"Blizzard Entertainment, Sierra Entertainment","Action role-playing, hack and slash","Microsoft Windows, macOS",29-Jun-00
Diablo III,Blizzard Entertainment,Blizzard Entertainment,"Action role-playing, hack and slash","Microsoft Windows, macOS",15-May-12
Digital Combat Simulator,Eagle Dynamics,The Fighter Collection,Flight simulator,Microsoft Windows,10-Dec-08
Dino D-Day,800 North and Digital Ranch,800 North and Digital Ranch,"Action, indie",Microsoft Windows,8-Apr-11
Dirt 3,Codemasters,Codemasters,"Racing, arcade",Microsoft Windows,24-May-11
Divine Divinity,Larian Studios,"CDV, Snowball Studios",RPG,Microsoft Windows,22-Sep-02
Dofus,Ankama Games,Ankama Games,MMORPG,"Microsoft Windows, Linux, macOS",Sep-04
Doom,id Software,GT Interactive,First-person shooter,"MS-DOS, Linux",10-Dec-93
Doom II: Hell on Earth,id Software,GT Interactive,First-person shooter,"MS-DOS, Macintosh",30-Sep-94
Doom 3,id Software,Activision,"Survival horror, First-person shooter","Microsoft Windows, Linux, macOS",3-Aug-04
DOOM,id Software,Bethesda Softworks,First-person shooter,Microsoft Windows,13-May-16
Dota 2,Valve,Valve,MOBA,"Microsoft Windows, Linux, macOS",9-Jul-13
Dragon Age II,BioWare,Electronic Arts,Role-playing,"Microsoft Windows, macOS",8-Mar-11
Dragon Age: Inquisition,BioWare,Electronic Arts,Role-playing,Microsoft Windows,18-Nov-14
Dragon Age: Origins,BioWare Edmonton,Electronic Arts,Role-playing,"Microsoft Windows, macOS",3-Nov-09
Dragon Age: Origins â€“ Awakening,BioWare Edmonton,Electronic Arts,Role-playing,"Microsoft Windows, macOS",16-Mar-10
Dragon Quest X,"Square Enix, Armor Project",Square Enix,RPG,Microsoft Windows,2-Aug-12
Dragon's Dogma,Capcom,Capcom,"Action role-playing, hack and slash",Microsoft Windows,22-May-12
Dragons of Flame,U.S. Gold,"Strategic Simulations, Inc.","Action, RPG, fantasy","MS-DOS, Amiga, Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum",1-Sep-89
DragonStrike,Westwood Associates,"Strategic Simulations, Inc.",RPG,"MS-DOS, Amiga, Commodore 64, Sharp X68000",1990
DRAMAtical Murder,Nitro+chiral,Nitro+chiral,"BL game, visual novel",Microsoft Windows,23-Mar-12
Driver,Reflections Interactive,GT Interactive,"Driving, action","Microsoft Windows, Macintosh",25-Jun-99
Driver 3,Reflections Interactive,Atari,"Racing, shooter",Microsoft Windows,24-Jun-04
Driver: Parallel Lines,Reflections Interactive,Atari,"Racing, third-person shooter, action-adventure",Microsoft Windows,14-Mar-06
Driver: San Francisco,Ubisoft Reflections,Ubisoft,"Action-adventure, racing","Microsoft Windows, Mac OS X",1-Sep-11
Duke Nukem,Apogee Software,Apogee Software,Platformer,"MS-DOS, Microsoft Windows, macOS",1-Jul-91
Dune,Cryo Interactive,Virgin Interactive,"Adventure, strategy","MS-DOS, Amiga",1-Nov-92
Dune II,Westwood Studios,Virgin Interactive,Real-time strategy,"MS-DOS, Amiga, RISC OS",Dec-92
Dune 2000,"Intelligent Games, Westwood Studios","Virgin Interactive, Electronic Arts",Real-time strategy,Microsoft Windows,4-Sep-98
Dungeon Defenders,Trendy Entertainment,Trendy Entertainment,"Tower defense, action RPG","Microsoft Windows, Linux, macOS",19-Oct-11
Dungeon Keeper,Bullfrog Productions,Electronic Arts,"RTS, god game, dungeon management game",Microsoft Windows,26-Jun-97
Dungeon Keeper 2,Bullfrog Productions,"Electronic Arts, Sold-Out Software","RTS, god game, dungeon management game",Microsoft Windows,30-Jun-99
Dungeons & Dragons Online,"Turbine, Inc.","Warner Bros., Atari, Codemasters",MMORPG,"Microsoft Windows, macOS",28-Feb-06
Dungeons of Dredmor,Gaslamp Games,Gaslamp Games,"Roguelike, indie","Microsoft Windows, Linux, macOS",13-Jul-11
Dwarf Fortress,Bay 12 Games,Bay 12 Games,"Construction and management simulation, Roguelike","Microsoft Windows, Linux, macOS",8-Aug-06
Emperor: Battle for Dune,"Intelligent Games, Westwood Studios",EA Games,Real-time strategy,Microsoft Windows,12-Jun-01
The Elder Scrolls: Arena,Bethesda Softworks,Bethesda Softworks,Action role-playing,MS-DOS,25-Mar-94
The Elder Scrolls Adventures: Redguard,Bethesda Softworks,Bethesda Softworks,Action role-playing,MS-DOS,14-Nov-98
The Elder Scrolls II: Daggerfall,Bethesda Softworks,Bethesda Softworks,Action role-playing,MS-DOS,31-Aug-96
The Elder Scrolls III: Morrowind,Bethesda Game Studios,Bethesda Softworks,Action role-playing,Microsoft Windows,1-May-02
The Elder Scrolls IV: Oblivion,"Bethesda Game Studios, 4J Games, Superscape",Bethesda Softworks,Action role-playing,Microsoft Windows,20-Mar-06
The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,Action role-playing,Microsoft Windows,11-Nov-11
The Elder Scrolls Online,ZeniMax Online Studios,Bethesda Softworks,MMORPG,"Microsoft Windows, Mac OS X",4-Apr-14
An Elder Scrolls Legend: Battlespire,Bethesda Softworks,Bethesda Softworks,Action role-playing,MS-DOS,30-Nov-97
Emily Wants to Play,Shawn Hitchcock,SKH Apps,Survival horror,"Microsoft Windows, macOS",10-Dec-15
Empire: Total War,"The Creative Assembly, Feral Interactive","Sega, Feral Interactive",RTS,"Microsoft Windows, Linux, macOS",3-Mar-09
Empire Earth,Stainless Steel Studios,Sierra Entertainment,RTS,Microsoft Windows,12-Nov-01
Empire Earth II,Mad Doc Software,Vivendi Universal,RTS,Microsoft Windows,26-Apr-05
Empire Earth III,Mad Doc Software,Sierra Entertainment,RTS,Microsoft Windows,6-Nov-07
Empires Apart,Destiny Bit,Slitherine,RTS,Microsoft Windows,29-Mar-18
Enclave,Starbreeze Studios,"Vivendi Universal, TopWare Interactive",Action,"Microsoft Windows, Xbox",10-Mar-03
Endless Space,Amplitude Studios,Iceberg Interactive,4X,"Microsoft Windows, macOS",4-Jul-12
Epic Battle Fantasy,Matt Roszak,Kupo Games,Role-playing,"Microsoft Windows, Linux, macOS",1-Mar-09
Epic Battle Fantasy 2,Matt Roszak,Kupo Games,Role-playing,"Microsoft Windows, Linux, macOS",20-Aug-09
Epic Battle Fantasy 3,Matt Roszak,Kupo Games,Role-playing,"Microsoft Windows, Linux, macOS",12-Sep-10
Epic Battle Fantasy 4,Matt Roszak,Kupo Games,Role-playing,"Microsoft Windows, Linux, macOS",12-Sep-13
Euro Truck Simulator,SCS Software,SCS Software,Simulator,Microsoft Windows,29-Aug-08
Euro Truck Simulator 2,SCS Software,SCS Software,Simulator,"Microsoft Windows, Linux, macOS",19-Oct-12
Europa Universalis,Paradox Development Studio,Strategy First,Grand strategy,Microsoft Windows,14-Mar-00
Europa Universalis II,Paradox Development Studio,"Strategy First, MacPlay, Typhoon Games",Grand strategy,"Microsoft Windows, macOS",12-Nov-01
Europa Universalis III,Paradox Development Studio,Paradox Interactive,Grand strategy,Microsoft Windows,23-Jan-07
Europa Universalis IV,Paradox Development Studio,Paradox Interactive,Grand strategy,"Microsoft Windows, Linux, macOS",13-Aug-13
Eve Online,CCP Games,CCP Games,"Space flight simulator game, MMORPG","Microsoft Windows, macOS",6-May-03
Event 0,Ocelot Society,Ocelot Society,Adventure,"Microsoft Windows, macOS",14-Sep-16
Eye of the Beholder,"Strategic Simulations, Inc.","TSR, Inc.","Fantasy, RPG",MS-DOS,16-Apr-90
Eye of the Beholder II: The Legend of Darkmoon,Westwood Associates,"Strategic Simulations, Inc.","Fantasy, RPG",MS-DOS,12-Dec-91
Eye of the Beholder III: Assault on Myth Drannor,"Strategic Simulations, Inc.","Strategic Simulations, Inc.","Fantasy, RPG",MS-DOS,3-Aug-92
Frank Herbert's Dune,Widescreen Games,"Cryo Interactive, DreamCatcher Interactive",Adventure,Microsoft Windows,14-Nov-01
Factorio,Wube Software,Wube Software,RTS,"Microsoft Windows, Linux, macOS",2015
A Fairy Tale,Reflexive Entertainment,Reflexive Entertainment,Matching,"Microsoft Windows, macOS",12-Mar-09
Fallout,Interplay Productions,Bethesda Softworks,RPG,Microsoft Windows,1-Nov-97
Fallout 2,Black Isle Studios,Bethesda Softworks,RPG,Microsoft Windows,1-Dec-98
Fallout 3,Bethesda Game Studios,Bethesda Softworks,RPG,Microsoft Windows,28-Oct-08
Fallout 4,Bethesda Game Studios,Bethesda Softworks,RPG,Microsoft Windows,10-Nov-15
Fallout: New Vegas,Obsidian Entertainment,"Namco Bandai Games, Bethesda Softworks",RPG,Microsoft Windows,19-Oct-10
Fallout Tactics: Brotherhood of Steel,Micro FortÃ©,14 Degrees East,TRPG,Microsoft Windows,15-Mar-01
Far Cry,Crytek,Ubisoft,First-person shooter,Microsoft Windows,12-Mar-04
Far Cry 2,Ubisoft Montreal,Ubisoft,First-person shooter,Microsoft Windows,21-Oct-08
Far Cry 3,Ubisoft Montreal,Ubisoft,First-person shooter,Microsoft Windows,29-Nov-12
Far Cry 3: Blood Dragon,"Ubisoft Montreal, Ubisoft Shanghai",Ubisoft,First-person shooter,Microsoft Windows,1-May-13
Far Cry 4,Ubisoft Montreal,Ubisoft,"First-person shooter, Action-adventure",Microsoft Windows,18-Nov-14
Far Cry Primal,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,23-Feb-16
Fez,Polytron Corporation,Trapdoor,Puzzle-platform,"Windows, Linux, OS X",1-May-13
Fiesta Online,Ons On Soft,"Ons On Soft, Gamigo AG",MMORPG,Microsoft Windows,7-Nov-07
Final Fantasy,Square Enix,Square Enix,Role-playing,Microsoft Windows,12-Aug-21
Final Fantasy II,Square Enix,Square Enix,Role-playing,Microsoft Windows,28-Jul-21
Final Fantasy III,Square Enix,Square Enix,Role-playing,Microsoft Windows,27-May-14
Final Fantasy IV,Square Enix,Square Enix,Role-playing,Microsoft Windows,17-Sep-14
Final Fantasy IV: The After Years,Square Enix,Square Enix,Role-playing,Microsoft Windows,12-May-15
Final Fantasy V,Square Enix,Square Enix,Role-playing,Microsoft Windows,10-Nov-21
Final Fantasy VI,Square Enix,Square Enix,Role-playing,Microsoft Windows,13-Feb-22
Final Fantasy VII,Square Product Development Division 1,"Square, Square Enix, Eidos Interactive",Role-playing,Microsoft Windows,31-May-98
Final Fantasy VII Remake Intergrade,Square Enix,Square Enix,Action role-playing game,Microsoft Windows,22-Jun-22
Final Fantasy VIII,Square Product Development Division 1,"Square, Square Enix",Role-playing,Microsoft Windows,11-Feb-99
Final Fantasy IX,Square Enix,Square Enix,Role-playing,Microsoft Windows,14-Apr-16
Final Fantasy X/X-2 HD Remaster,Square Enix,Square Enix,Role-playing,Microsoft Windows,12-May-16
Final Fantasy XI,"Square Product Development Division 3 (pre-April 1, 2003), Square Enix Product Development Division 3","Square, Square Enix",Role-playing,Microsoft Windows,16-May-02
Final Fantasy XIII,Square Enix,Square Enix,Role-playing,Microsoft Windows,9-Oct-14
Final Fantasy XIII-2,Square Enix,Square Enix,Role-playing,Microsoft Windows,11-Dec-14
Final Fantasy XIV,Square Enix,Square Enix,MMORPG,Microsoft Windows,18-Feb-14
Final Fantasy XV,Square Enix,Square Enix,Action role-playing game,Microsoft Windows,6-Mar-18
Final Fantasy Type 0,Square Enix,Square Enix,Role-playing,Microsoft Windows,18-Aug-15
Firefall,Red 5 Studios,Red 5 Studios,MMOFPS,Microsoft Windows,29-Jul-14
Fistful of Frags,FoF Developer Team,"FoF Developer Team, Valve",First-person shooter,"Microsoft Windows, Linux, macOS",20-Dec-07
Five Nights at Freddy's,Scott Cawthon,Scott Cawthon,Survival horror,"Microsoft Windows, Linux",8-Aug-14
Five Nights at Freddy's 2,Scott Cawthon,Scott Cawthon,Survival horror,"Microsoft Windows, Linux",10-Nov-14
Five Nights at Freddy's 3,Scott Cawthon,Scott Cawthon,Survival horror,"Microsoft Windows, Linux",2-Mar-15
FlatOut,Bugbear Entertainment,"Valve, Empire Interactive, Konami","Racing, arcade","Microsoft Windows, Linux",5-Nov-04
FlatOut 2,Bugbear Entertainment,"Valve, Empire Interactive, Konami","Racing, arcade","Microsoft Windows, Linux, macOS",30-Jun-06
FlatOut 3: Chaos & Destruction,Team6 Game Studios,Strategy First,"Racing, arcade",Microsoft Windows,13-Dec-11
FlatOut: Ultimate Carnage,Bugbear Entertainment,"Valve, Empire Interactive","Racing, arcade",Microsoft Windows,22-Jul-07
For the Glory: A Europa Universalis Game,Crystal Empire Games,Paradox Interactive,Grand strategy,Microsoft Windows,11-Nov-09
The Forest,Endnight Games Ltd,Endnight Games Ltd,Survival horror,Microsoft Windows,30-May-13
A Fork in the Tale,Advance Reality Interactive,Any River Entertainment,Adventure,Microsoft Windows,28-Feb-97
Fortnite,"Epic Games, People Can Fly",Epic Games,"co-op, sandbox, survival game","Microsoft Windows, macOS",25-Jul-17
Fragile Allegiance,Gremlin Interactive,"Gremlin Interactive, Interplay","4X, real-time strategy","Microsoft Windows, MS-DOS",Dec-96
Fragmented,Above and Beyond Technologies,Above and Beyond Technologies,"Survival, RPG",Microsoft Windows,26-Mar-16
Freelancer,Digital Anvil,Microsoft Game Studios,Space trading and combat simulator,Microsoft Windows,4-Mar-03
FTL: Faster Than Light,Subset Games,Subset Games,"Indie, simulation, strategy","Microsoft Windows, Linux, macOS",14-Sep-12
Game Dev Tycoon,Greenheart Games,Greenheart Games,"Casual, indie, simulation, strategy","Microsoft Windows, Linux, macOS",10-Dec-12
Garry's Mod,Facepunch Studios,Valve,"Nonlinear, sandbox physics","Microsoft Windows, Linux, macOS",29-Aug-13
Giant Cop: Justice Above All,Other Ocean Interactive,Other Ocean Interactive,Action,Microsoft Windows,30-May-17
Goat Simulator,Coffee Stain Studios,Coffee Stain Studios,"Nonlinear, sandbox physics","Microsoft Windows, Linux, macOS",1-Apr-14
Gone Home,The Fullbright Company,The Fullbright Company,"Adventure, interactive fiction, point and click","Microsoft Windows, Linux, macOS",15-Aug-13
Gothic,Piranha Bytes,Xicat Interactive,Action role-playing,Microsoft Windows,15-Apr-01
Gothic II,Piranha Bytes,JoWooD Entertainment,Action role-playing,Microsoft Windows,29-Nov-02
Gothic 3,Piranha Bytes,"JoWooD Entertainment, Deep Silver, Aspyr Media",Action role-playing,Microsoft Windows,13-Oct-06
Gothic 3: Forsaken Gods,"Trine Games, Mad Vulture Games",JoWooD Entertainment,Action role-playing,Microsoft Windows,21-Nov-08
Arcania: Gothic 4,Spellbound Entertainment,"JoWooD Entertainment, DreamCatcher Interactive",Action role-playing,Microsoft Windows,14-Oct-10
Arcania: Fall of Setarrif,Spellbound Entertainment,Nordic Games,Action role-playing,Microsoft Windows,25-Oct-11
God of War,Santa Monica Studio,Sony Interactive Entertainment,"Action-adventure, hack and slash",Microsoft Windows,14-Jan-22
Grand Theft Auto,DMA Design,BMG Interactive,"Open world, action-adventure","Microsoft Windows, MS-DOS",21-Oct-97
Grand Theft Auto: London 1961,Rockstar Canada,Rockstar Games,"Open world, action-adventure",Microsoft Windows,1-Jun-99
Grand Theft Auto: London 1969,Rockstar Canada,Rockstar Games,"Open world, action-adventure","Microsoft Windows, MS-DOS",31-Mar-99
Grand Theft Auto 2,DMA Design,Rockstar Games,"Open world, action-adventure",Microsoft Windows,22-Oct-99
Grand Theft Auto III,DMA Design,Rockstar Games,"Open world, action-adventure",Microsoft Windows,21-May-02
Grand Theft Auto IV,Rockstar North,Rockstar Games,"Open world, action-adventure",Microsoft Windows,2-Dec-08
Grand Theft Auto IV: The Lost and Damned,Rockstar North,Rockstar Games,"Open world, action-adventure",Microsoft Windows,13-Apr-10
Grand Theft Auto: The Ballad of Gay Tony,Rockstar North,Rockstar Games,"Open world, action-adventure",Microsoft Windows,13-Apr-10
Grand Theft Auto: San Andreas,Rockstar North,Rockstar Games,"Open world, action-adventure","Microsoft Windows, macOS",7-Jun-05
Grand Theft Auto: Vice City,Rockstar North,Rockstar Games,"Open world, action-adventure","Microsoft Windows, macOS",12-May-03
Grand Theft Auto V,Rockstar North,Rockstar Games,"Open world, action-adventure",Microsoft Windows,14-Apr-15
Grid 2,Codemasters,Codemasters,"Racing, arcade",Microsoft Windows,27-May-13
Ground Control,Massive Entertainment,Sierra On-Line,Real-time tactics,Microsoft Windows,1-Jun-00
Ground Control II: Operation Exodus,Massive Entertainment,Vivendi Universal,Real-time tactics,Microsoft Windows,18-Jun-04
Growtopia,"Ubisoft Abu Dhabi (2017â€“present), Robinson Technologies (2013-2017), Hamumu Software (2013-2017)","Ubisoft (2017â€“present), Robinson Technologies (2013-2017)",MMO,"Microsoft Windows, macOS",30-Nov-12
GTR Evolution,Sinbin Studios,"Atari, Viva Media",Racing,Microsoft Windows,1-Aug-08
Guild Wars,ArenaNet,NCSoft,CORPG,Microsoft Windows,26-Apr-05
Guild Wars 2,ArenaNet,NCSoft,MMORPG,"Microsoft Windows, macOS",28-Aug-12
Guild Wars Factions,ArenaNet,NCSoft,CORPG,Microsoft Windows,28-Apr-06
Guild Wars Nightfall,ArenaNet,NCSoft,CORPG,Microsoft Windows,27-Oct-06
Guitar Hero III: Legends of Rock,Neversoft,Aspyr Media,"Music, Rhythm","Microsoft Windows, Mac OS X",13-Nov-07
Gunpoint,Suspicious Developments,Suspicious Developments,"Action, adventure, puzzle platformer","Microsoft Windows, Linux, macOS",3-Jun-13
Half-Life,"Valve, Gearbox Software",Sierra Entertainment,First-person shooter,"Microsoft Windows, Linux, macOS",19-Nov-98
